lemmatized,sentiment
окунь акула ловить,neutral
руслан ага вытряхнуть и опять быть за борт,neutral
добыча респект,positive
это что за монстр,negative
вот такой же размер белый акула поднять в море космонавт хотя она там совсем не должный быть ловиться,neutral
валерий валера есть история интересный с рыбак,positive
сергей есть немного тут и про рыбак и тд,neutral
валерий нифига себя вот это ты заморочиться дядька валерка,negative
сергей однокашник попросить вспомнить вот и написать сам уже не рад,neutral
нормально ток ч с она делать она ж нельзя есть вроде только плавник верхний в суп,neutral
денис по слип за борт,neutral
просто жерар депардье с мы в море пошлый респект он,neutral
с левый кто мастер,positive
максим коля,neutral
добрый день подсказать как и через что можно попасть на такой замечательный работа знание ноль и опыт тожебыть признательный,positive
у повар так не бывать,neutral
ожидание сменщик в без ти,neutral
а сменщик забухать и валяться в умат уже неделя и дед всегда просить ещё постоять вахта за го механика,negative
tmeelenacard,neutral
хороший изобретение для моряк это,positive
спецкрокс для моряк,neutral
доводиться продавать крокс за пачка сигарета крайний день контракт,neutral
так моряк и придумать крокс так то,neutral
ильмир ага ты наверно боцман рассказывать как он на пара с матрос придумывать,neutral
вадим так он право это обувь для рыбак и любитель парусный спорт быть изначально,neutral
alexey быть но не моряк она придумать нех между строка читать,neutral
это изобретение стоить но это тот стоить,neutral
роман какой то буржуйский крокс ты покупать я на озон на порядок дешёвый брать,neutral
анатолий так я в япония покупать что сделать для японец сделать на совесть,positive
анатолий уверенный что оригинал,positive
за ку в япония в фирменный магазин в тот год,neutral
alexey а я и не бег за оригинал я перед кто красоваться то перед двигун,neutral
анатолий тут дело в качество на подделка обычный резина в основное,negative
покупать китай крокс за р в конец контракт выкидывать,negative
моряк о это не грустить,negative
джимми мой мальчик где ром народ требуетзрелище,neutral
штурман бояться дурак рыбак и военный моряк,negative
юрий и яхтсмен,neutral
они как раз к первый категория относиться,neutral
кто в море не бывать тот бог не молиться,neutral
хороший разбудить капитан чем посадить,positive
да валить надо с этот море а не гнить там чем ранний это поймть тем хороший,neutral
mr да и вообще работать тот кто большой ничего делать не уметь,neutral
поплыть за я я знать короткий дорога,neutral
хороший тронуть лев за ляжка чем матрос за тельняшка,positive
плавать чемодан в прорубь,neutral
на шлюпка и жилет товарищ нет,neutral
морской тест без стресс seatest answers bot помочь подготовиться к ces delta sets plus и другой экзамен ты просто задать вопрос бот находить верный ответ запустить сейчас seatestanswersbot,positive
кино про море,neutral
евгений опять про море,neutral
офигенный зрелище не весь земнымэтый в доступ,neutral
наталья отражение так же на высота emergency exit,neutral
только для побег куда,neutral
какой сезон идти не подсказать,neutral
если талия позволить,neutral
карский море,neutral
лучщий быть вахтенный в и говорить какой всё не опытный при это включая комп мозг у летний отказывать,neutral
игорь если вы это задеть значит это так и есть есть ребята который в это возраст уже мочь манёвр совершать у причал а не только авторулевой воткнуть и сидеть в комп печатать тонна макулатура вс относительно,neutral
timofey а это где вахтенный помощник у причал быть манёвр делать всегда лоцманкапитанрулев а тонна макулатура нынешний проблема любой отрасль,positive
алексей на самоотвозный земснаряд например подход отход от причал перешвартовка спокойно делать вахтенный иногда под присмотр капитан конечно но без лоцман и буксир они только оформлять на бумага,neutral
dmitry ну это очень узконаправленный флот такой тонкость не знать,positive
не знать как сейчас в бытность молодость начинать на ввп вахтенный треха сам проходить шлюз на свой вахта а секонда уж сам себя,neutral
андрей и сейчас ничего не измениться опять же много зависеть от капитал если доверять свой помощник то тот всё делать самостоятельно,positive
андрей на ввп третий вахта с капитан стоить под присмотр не весь в шлюз давать заходить,neutral
илья да конечно но зависеть от мастер и от непосредственно помоха а главный даже не умение ручка дергатьести честно не такой уж сложный дело а общий ответсвенность человек ещё верный обратный от расписздяйство а навык к причальный стенка самостоятельно подходить и в камера шлюз не такой уж и уникально сложный и требовать высокий квалификация и десятилетие практика,positive
алексей в офшор,neutral
игорь хороший быть вахтенный в и при вид таблица excel впадать в дикий паничка,positive
через полубак и по надстройка,neutral
вообще похер жопа застудить сам понять,positive
лещ и с кнехт пинок грешница на святой покуситься,negative
на голова у боцман не сидеть,neutral
александр а на лицо,neutral
александр у они на флот нет такой,neutral
ergey хахахахи понять,positive
на параход в частность на палуба мантулить надоа не любоваться на красавицпо палуба ещё с каткий походит забортподзор краситьд и швартовка особенно в мореза время бродяжничество по морям это продолжаться тридцать с лишний летс три женщина прийтись поработать штурман девчонка быть а в время совдепий в кбрфный плавбазахпеэрахмный девчонка быть и обработкабуфетчица прачкиуборщицын в тот время на суд народ много былодажа бугалтер былиодно время на база аванс расчёт прямо на параход выдавалид быть времяй с отдых быть всё в порядок кинотанцыэкватор пересекать вообще масовой гуляние быловесело былоработа четыре через восемьправда подвахта былиный как то не очень напрягалоа приход плав база в калининградэтый что товёс кабак забитытолпа гуляетмочь кто живой ещё помнить ходить в тот временанаписать мочь кто помнить старое моряк,positive
а потом поп больно быть сидеть на холодный металл картонка бы подложить,neutral
мозг как у ракушка,neutral
норма девуля в комент один нытик,negative
боцман она кабина снесть за то что на кнехт присесть,neutral
мочь боцман любить пилотка на голова,positive
сейчас кран дотировать и пойдт,neutral
порой сидеть и думать как всё обьясняить это обычный человек не морской сленг,neutral
игорь использовать мат он понятный для весь,positive
иван нафиг и так дерьмо хватать,negative
не стена а переборка,neutral
не лестница а трап,neutral
а с другой сторона ваш както пофига камбузстоловый туалетгальюн повар или кок и тд,neutral
не пол а палуба,neutral
интересно кто в итог стать этот британец,neutral
данил а мы стоить,neutral
владимир как обстановка,neutral
сергей пумба,neutral
сергей расти пока пионер к двт химик,neutral
тоже сейчас тут стоить,neutral
жёсткий труд,neutral
вот когда он билдж быть чистить вот тогда быть опа,neutral
вот она жесть,neutral
боцман уже майнаета цементремувер в трюм,neutral
романтика она такой,positive
про туловище ни слово обидненький,neutral
да ещ полтора час ждать,neutral
человекветер,neutral
а зачем они изолента жопа заклеивать,neutral
кейтайса любить приходить в такой в время covidnineteen,positive
если вы улыбаться танкер то вы домой уже пора,positive
я только вентиляция валогенератор после го месяц улыбаться постоянно на обходепоход нравиться она глазок строить,positive
главное чтобы улыбка не в район бульб быть,neutral
это происходить обычно в конец контракт,neutral
крутой фото с религиозный подтекст,positive
юрий действительно,neutral
как красиво,neutral
алексей в певек поход стоять,neutral
эх земляк учить английский и идти в море нефига в прайме корячиться,negative
автодорожный мост саратов,neutral
доставать слоник и чипайте,positive
чипим подметать красить и про грунт не забывать,positive
как это знакомый,neutral
както на вахта я не спасться начать свой рассказ старый штурман,positive
сколько выпь,neutral
а в судовой документация с постройка разве нет,neutral
рома документация нет,neutral
ого это засада,neutral
александр должный документ это считать четверть стоимость корабль трясти мех старпом,neutral
заливать gear oil и всё,neutral
да лей пт не ошибиться,negative
редукторный масло или если есть карта смазка посмотреть какой масло идт в редуктор крановый или картер сепаратор,neutral
спросить на камбуз у повар должный в пятишки стоять соевый,neutral
алексей я обычно отработка отдавать нефига хороший масло в брашпиль заливать,neutral
дмитрий это механизм и если не хотеть в море работать а эксплуатировать механизм заливать то который надо извинить это мо мнение и опыт наблюдение,positive
редукторный лей,neutral
там же всё написать,neutral
а ч ктоть отменить переводчик в телефон сфоткать и автомат перевести тот же яндекс,neutral
дмитрий в это текст нет информация про смазочный масло хоть в английский хоть в китайский переводчик не дать ответ на задать вопрос,neutral
написать производитель почта же есть или qrкод отсканировать мочь выдать мануал в интернет,neutral
мы заливать,neutral
иногда удивляться вопрос у человек есть инет а он спрашивать и ждать ответота кто то а спросить это в поиковик слабо вроде механик а развитие как у матрос юнга стыдно даже читать,negative
валерий а совет у старый механик и мочь какой никакой хитринка подсказать или вс уйти то время когда опыт старший делиться,positive
геннадий опыт делиться всегда с механик механика проходить мкк если не знать такой вещь надо быть учиться на штурман или повар,neutral
валерий да не тот моряк пошлый блин ты не молодец ты просто хотеть казаться умный и пятак сто процент сышать весь в ухо какой всё тупой а ты молодец плохой ты человек держаться за сво место поверь надо быть команда это правильно спасибо что показать кто как кто и вообще,negative
геннадий я пенсионер год за свой место я никогда не держаться я просто вызывать или просить usa виза я открывать жды норг и немец,neutral
если редуктор смазка шестерня то густой аля как в сепаратор если есть какой либо гидросистема и соответственно манипулятор то быть быть или быть в зависимость от основный регион работа,neutral
дмитрий так и есть братан,neutral
мы обычный дизельный в док заливать,neutral
редукторный быть а вообще всё вопрос через суперо надо решать он и ответственность,positive
в брашпиль в зависимость от диаметр звено и количество смычка в шпиль диаметр и количество швартовый конец информация по верёвка и цепь у старпом да и вес якорь наверное,neutral
забыть совсем если приехать на пароход и есть механизм с неопознанный масло слить чуткий старое и отправить в лаборатория на анализ всё равно раз в три месяц обычно рабочий масло отправляться там дать раскладка по вязкость и весь остальной,positive
дмитрий в нормальный контора должный быть книга где расписать под каждый механизм какой масло заливаться либо должный быть мануал и там написать,positive
где safety вилка,neutral
всё красиво везти к мы большой контейнер,positive
и потом съесть,neutral
у мы просто сыр и колбаска,neutral
это maerskmsccgmever нет это хороший понятие о тот как красиво принимать тот кто приходить на борт,positive
а давно мостик стать зона принятие пища,neutral
reimond как лоцман ты сказать так и сделать,neutral
корейский обед а карта великобритания,neutral
павел мочь повар кореец,neutral
не слишком ли дохер почесть,neutral
гдеть в тихий океанеберинговый море,neutral
керченский пролив чрной море,neutral
фадей азовский море не далеко от мост,neutral
семён и мост есть,neutral
американский залив трамп переименовать,neutral
гдеть в район индия,neutral
можно я поделиться наш геленджикский закат разница в минута на нордост,neutral
а это сын скидывать с балкер,neutral
какаянибудь система очистка чегонибудь,neutral
анастасия это расширительный бак гд дг воздушный компрессор,neutral
анастасия нет,neutral
похоже на расширительный бачок у главное и движок,neutral
расширительный бак гд дг воздушный компрессор,neutral
какой нах разница главное не забывать пополнять расширительный,neutral
crown garnet,neutral
никита афалина,neutral
или crown jade,neutral
узнавать фирменный стиль owh классика бессмертный,positive
алексей это же один из модификация ду дм,neutral
один раз наблюдать картина как мотор прозивал закрыть клапан,neutral
андрей бывать,neutral
каждый в свой жизнь хоть раз но пробывать расширительный открыть клапан и на секунда отошлый чтоть ещ глянуть или на палуба покурить,neutral
дмитрий вы правый нельзя никогда заниматься чем то другой когда что то перекачивать или закачивать особенно если это связать с главный двигатель и питание на судовой сеть,positive
в конец вахта как всегда пополнить немного а пока набераться соль кандейк а потом чтоть ещ сделать надо в общий через мина смотриша водопад быть ть ковырять как пить датьтакий быть у весь особенно молодой,neutral
тплый ящик постоянно в проба и собирать он потом под вахта устраивать себя,neutral
замечательный момент,positive
вот у кто дохрен свободный время,positive
пепельница старший механика артур в каюта и цпу,neutral
сильный это артур забить болт уже не получиться,neutral
какой белые холм,neutral
а на сам дело я первый бог что обречн жить под земля видеть агония и боль творение рука мой,negative
наковать безопасность сначала покурить,positive
запретить это делать,negative
сергей там есть оговорка тип сообщить флаг судовладелец дональд трамп ну то есть если совсем пиздец то официально отписаться можно,neutral
когда терпеть дураковпонимать какой нельзя быть и вырастать помнить о этот несчастный mooduck,negative
артём не с весь это работать есть категория который вырастать в должность с мысль я разьебывать теперь я быть весь разьебывать,neutral
андрей ну это бывать с психически ущербный человек,negative
как и в любой другой работа,neutral
на берег плохой долгий надо терпеть начальник если держаться за место а в море полгода потерпеть и нахер всё послать,negative
после вахта качалка в реабилитационный центр превращаться,neutral
реально качать,neutral
здорово быть бы на такой волна на омский или волгобалта походить эхххха класс,neutral
алексей переломиться,neutral
алексей хех крокодил,neutral
на подход к венеция,neutral
крутой фото,positive
напомнить один самошвартовка в норвегия зимой поздно вечером причал весь в снег ни лоцман ни швартовщик на причал матрос с корма на причал спрыгнуть он лопата деревянный откапывать нужный боллард,neutral
когда в россия начать думать голова и делать вс на благо человечество а не свой карман,neutral
дозельный чтоль,neutral
показатель тот что на судно жопа в весь,neutral
это да помнить как в молодость в х после рейс на рыбак в таллин оттягиваться ежедневно днм и вечером кабак девочка передвижение строго на такси шмотки и тп красиво жить в удовольствие но каждый раз жалеть когда деньга заканчиваться вс ругать себя что не хватать сила воля подкопить вот сейчас на пенсия пенсия неплохой зарплата высокий работать ещ вс както в жизнь неплохо сложиться но при это есть что вспомнить бурный быть молодость,positive
альберт а так и надоа то как в песня есть только миг между прошлое и будущее,neutral
альберт а в бмпотходить лвыйти на пенсдый срочнопенсия так,neutral
сергей я на ртмс л потом др дть пенс так не жаловаться,negative
а есть текто копить и тратить уметь и цветок и подарок даритконечный и работать очень много,neutral
татьяна че ты хвастаться,neutral
денис хвастовство это совершенно другой,neutral
татьяна ну и идти торговать далёкий,neutral
татьяна поход трудовой работа это не тво,neutral
денис перед тем как цепляться к комментарий нужно понять они смысл я не работать на флот,positive
и решать что мо а что не мо точно не ты нашться решать,neutral
татьяна причм здесь флот,neutral
денис выше ответ и вывод о тот кто не знать делать мягко говорянь очень умный человек,positive
так вот почему я вс всаживать после рейс и в следующий еда по нуль,negative
я вс думать когда с море завязать чем на берег заняться на завод или на коготь не хотеть мож кто то подсказать какой нть бизнес идея мож ктоть тоже подумывать о это,neutral
александр если так к вопрос подходить то не стоить только вредный совет наслушаться да и у мы в спокойный то время большинство стартовый бизнесс прогорать,positive
александр только не бизнес особенно в наш реалия хотя с характер моряк мочь что и выгореть у я муж в охрана грозиться или на плавкран отдохнуть хороший,neutral
вот чтоб такой не быть идти работать на завод за миска суп и быть у икона слеза пускать ещё и за то что сам без грош за душ да с копеечный пенсия который хватить только на жкх и то не факт,positive
руслан сейчас на завод платить не маленький тыс руб вс зависеть от профессия и должность ну у мы в казань так у вы не знать если миска суп столько стоить то согласный значит за миска я тоже на завод работать зп большой так но я руководитель среднее звено сейчас дефицит кадр везде не думать что сложно найти нормальный работа,neutral
альберт тыс по нынешний цена это как раз миска суп и есть,neutral
руслан вы точно в россия живт не на украина,neutral
альберт точно у я жена не работать я она к в мес выделять она хватать только на еда,neutral
руслан просто у ваш жена аппетит хороший,positive
альберт у любой жена аппетит хороший,positive
альберт цена расти как гриб,neutral
руслан значит надо искать новый желательно вегетарианка следить за фигура,neutral
год отрыбачить состояние не скопить потому что не копить пожить в сво удовольствие есть о чм вспомнить потом год танкер газовоз химовоз деньга куча быть и тоже есть о чем вспомнить сидеть вспоминать пенсия на сигарета хватать а большой и не надо,positive
счастливый тот кто хватать свой заработать на удовлетворение свой потребность,positive
жмоткомпанни,neutral
серхиннио жмот компания даже не рассматривать и не отвечать на заявка,negative
мочь просто на высокий скала в узость решить поглядеть,neutral
нет это шарагаконтор они туда отправить они вообще плевать на человек и состояние судно у экипаж просто нет выбор а так этот вагенборг полный г никто не советовать туда соваться,negative
павел ранний быть нормально всё так плохо теперь там,neutral
павел что не так с вагенборг вроде серьзнать фирма,neutral
пипец там холодно,neutral
место для анекдот я любить ты юнга,positive
роман я передать этот слово,neutral
так вот кто комбез с пароход домой пиздт,neutral
святослав быть честно отработать в свой и этот экземпляр прописать по контракт,neutral
святослав ещё гдеть носить комбез после другой,neutral
святослав ты жалко чтоль,neutral
азат если в компания предусмотреть комбез на контрактконечный приходиться носить комбез другой,neutral
айрат хреновый,neutral
так это вроде квартира девчнка одеть парень комбез ну тип ролевый игра,neutral
александр почтисовременный цпу,neutral
рентв вообще в курс,neutral
серхиннио генеральный лично писать,neutral
руслан странно в деловой переписка не заметить,positive
репортаж суд,neutral
работать как то на нм,neutral
боцман кадет камбуз хз баржа танк брашпиль хз,neutral
балкер танкер муть какаять,neutral
цпу вообще конечно станция,neutral
боцман кадет камбуз балкер баржа танкер брашпиль девиация,neutral
боцман кадет камбуз балкер баржа танкер брашпиль девиация,neutral
боцман кнехт а далёкий хз,neutral
отличный пост спасибо админ дать ребёнок разгадывать на яхтенный курс,positive
привет что интересовать,neutral
иметь опыт месячный рейс на бмрт от великолепный компания бамра,positive
артур жстко,neutral
работать и работать на крабеписать,neutral
влад как попасть опыт нет но желание огромный да и так я крабовый ловить правда не камчатский,neutral
nicolay написать в лс скинуть контакт,neutral
влад сейчас добавить,neutral
а когда мы быть спать какой сегодня деньпонедельникнуть гдеть в пятницувота это специфика работа краболов,neutral
жить на работа да ещ и с свой баба да ну нахэтый вечный пилинг мозг с весь сторона,negative
артур когда жена на вахта просить пожать ножка разве это не прелесть,positive
clubподслушать в море моряк торговый флот не нах нужно семья и работа нужно разделять и не тянуть один в второе,neutral
артур любить надо друг друг и понимать,positive
евгений но не на общий работа,neutral
артур если любовь настоящий не важно где,positive
евгений нет отношение и работа следовать разделять и не тянуть в свой семья рабочий момент и уж тем более не стоить работать в условие когда один из семья начальник а второй подчиннный ничего хороший это не сулить,positive
артур ну вы видный,positive
на речной чешка и шпха семья работать с апрель по октябрь пахать а в зима в камыш загонять и зимовать на берег,neutral
книга писать автор пацанский цитата,neutral
максим если только так,neutral
работать капитан на толкач на река жена й помощник с я стоить вахта механик друг родный братишка старпом он жена матрос у второй помощник жена повар никто никто мозг не пилить работать всё дружно,positive
руслан трёшник на толкач шикарно живт,neutral
руслан главное чтоб колпит не пиздиля семейный подрядома то такой орлов полно сесть семейный и хуевертеть,neutral
роман я хороший с свой родный быть работать который не подвести и работать быть нормально до конец навигация и не пиздеть лишний чем с всякий долбебами который только пиздить а работать не хотеть а деньга они дать а по повод колпит у я пока повар колпит не потратить говорить на теплоход не приезжать,positive
руслан пиздабол ты конечно редкосный,neutral
игорь пояснить тогда,neutral
руслан судовой роль в студия,neutral
игорь ага сейчас с имя фамилия и паспортный данные,neutral
руслан и где ты на толкач видеть штурман,neutral
игорь у я человек экипаж,neutral
да это бред полный буквально кумовство поблажка перенос личный отношение на служебный ничего хороший не видеть служебный роман портить работа и в офис а уж когда месяц без выходной в один каюта это полный аут я пофига кто кто мозг пилить быть или кто быть в портун берег изменять просто в экипаж где мужкеп а жена кепка допустить матрос или тршникнуть на который фига пожаловаться или слово поперк не сказать я работать не быть и свой жена уж точно с себя таскать не стать,negative
у они другой человек и другой ценность вряд ли что то ценный быть там,positive
в шлюз в антверпен член команда выгуливать собака на соседний судно в иллюминатор видеть грудной ребёнок всё ходить в тапкахшорт как у себя дом,neutral
а ребёнок дом сам по себя расти учиться семья это в первый очередь ребёнок если они нет какой это семья,neutral
почему именно моторист в прицеп любой seemanas,neutral
гуков paзъeбaть,neutral
моторист саня и второй мех иванович на вход в сименсклаб,neutral
баба страшный и старый,neutral
какой к хер дешовыя северный путь,neutral
но ледокол не резать он проламывать,neutral
не только морской,neutral
да вообще побоку на американский суд мировой флот под флаг панама антигуа и прочий кипр ходить а уж нефтевоз так подавно быть у россия нефть закупать не обломаться,neutral
настольгия в глаз попасть,neutral
наступить на коммингс проебал голова,neutral
навсегда это хоть в танковый шлем ходить а на японский суд так подавно,neutral
комингс тоже хорошо бить по голенивый пожилой возраст сказаться,neutral
павел незнать пройти уже практика и работать в должность за год ни раз не биться о комингс и голова тоже не биться,negative
иван год отработать почувствуешьраньшеправда комингс высоко быть,neutral
почему враг просто хотеть с ты дружить и привлекать к себя внимание,positive
самый главный враг в первый да и в любой друг контракт это капитан совка а остальной не так страшно,neutral
причина мой сутулость,negative
привет написать сюда,neutral
очень странно что на мех и вообще пойти матрос неужели всё так печально с кадетский программа,neutral
андрей тут не только с практика уйти в рейс на нормальный суд кроме рыбак они не в счёт сложно даже кадет есть полный пакет документ не брать нужный опыт,positive
владислав да ладный уже в море так не рваться человек неужели сложно,neutral
милослав представить приходить в нормальный компания с базовый пакет документ спрашивать мочь ли они взять в должность хотяб кадет нет нужный с опыт или вы мы не подходить по возраст глупый отмазка оститься только апликашка рассылать но смысл от не нет не отвечать,positive
владислав кадет пойти нужный опыт кадет капец я про такой бред слышать в от ребята который идти в briese swallow не понимать это или платить за то чтобы кадет пойти такой бред,negative
милослав аналогично у на есть работано мы быть не дать у вы опыт нету,neutral
владислав ну к черта тогда такой контора тогда уж хороший на берег за малый деньга работать это они должный за мы хвататься а не мы за они,positive
милослав есть цель и желание вс остальной не важно,neutral
написать в лс помодсказать,neutral
главное вести правильно журнал практикант чтоб печать всё стоять как надо а так надо быть на торговый флот идти пусть зп маленький ну время по большой свободный,positive
год а разве не месяц чтобы моторист получить,neutral
ивандлить получение моторист класс год в должность моторист и экзамен либо год стаж для корочка вахтенный моторист месяц практика в учебный центр когда делать диплом мотор для получение диплом вахтенный механика год в должность вахтенный моторист при контроль старший по должность с месяц работа на судоремонт в,neutral
владислав я начинать с вахтенный моторист поэтому так и написать да и ранний вроде по другой нельзя быть уж точно не знать,neutral
иван он в любой случай делать документ нужно без документ он не мочь встать на суровый роль даже кадет быть рыбообработчик как практика не считаться,negative
владислав что ты нести,neutral
иван я учиться в морской колледж,neutral
владислав я устроенный на судно как рыбообработчик но записать в мк практикант вахтенный механика,neutral
вадим а кроме обработка рыба ты обслуживание механизм заниматься опыт есть по профессия толк от ты какой,positive
владислав да какой опыт если самый первый практика впервые на судно,neutral
вадим после практика у ты возможность либо делать документ вахтенный мотор вайперо либо не делать и идти кадет в оба случай надо быть допройти какиеть курс не помнить какой у ты уже есть,neutral
влад есть только сертификат пднв но хотеть бы узнать какой корочка в будущее быть полезный для мой профессия то есть моторист сварщик токарь и так далее,positive
